,z_bins,d0,d1,d2,d3,d4,d5,d7,d8,d9,d10,d11,d12
0,0.068031981123261,176582,187942,182629,183852,205364,207308,203778,177286,137931,137931,136920,81881
1,0.1050302681063717,337912,352618,341862,336802,332330,386153,379977,339260,269793,269793,270213,272684
2,0.1433102332263531,384595,397814,391961,405483,361323,438281,431314,386129,328259,328259,330169,334113
3,0.1829162758049169,367149,378514,374636,394297,330128,420892,414100,368614,322486,322486,320597,340430
4,0.2238943332252514,366621,377471,376215,378027,317032,417303,410684,368083,334645,334645,319486,338397
5,0.2662919342128615,306281,315255,312411,325050,251502,351200,345526,307503,320349,320349,319038,262621
6,0.3101582539621375,190609,197883,195593,203439,143271,222357,218616,191369,228294,228294,222203,155536
7,0.3555441711725957,40476,43446,41420,45868,20082,51921,50867,40637,71171,71171,71880,11874
8,0.4025023270609431,-1345,-443,-1440,-88,-13060,1798,1638,-1350,19284,19284,17433,-12764
9,0.4510871864174088,-14509,-13619,-14867,-15366,-21208,-13134,-13058,-14566,69,69,3932,-24558
10,0.5013551007771659,-3806,-3350,-3599,-2960,-8117,-3373,-3357,-3822,1456,1456,3985,-6999
11,0.553364373780106,1757,1785,1775,763,816,1876,1851,1764,1846,1846,1166,2015
12,0.6071753287947794,164,186,-550,-733,-1452,274,266,165,874,874,730,616
13,0.6628503788849336,195,211,-547,-727,-1607,145,146,196,971,971,432,242
14,0.7204540991998019,438,489,-182,-1041,95,627,612,440,700,700,741,370
15,0.8233714709600575,2176,2229,1761,1476,1041,2507,2467,2185,2489,2489,2397,3520
16,0.9794720268946636,2155,2169,763,316,1180,2384,2349,2164,3065,3065,1998,3159
17,1.148936499042274,-271,-141,-126,-1113,-1692,-366,-359,-272,3426,3426,3209,3842
18,1.332908984907725,-3028,-2895,-2318,-3714,-5239,-3122,-3086,-3040,3312,3312,3262,2697
19,1.5326315292651778,-2932,-2837,-2221,-3442,-5620,-2868,-2841,-2943,4609,4609,5847,5110
20,1.7494525095164728,-5215,-5110,-4952,-5551,-8266,-5493,-5423,-5236,3664,3664,3668,5782
21,1.9848357389279423,-9391,-9314,-8942,-9510,-11937,-10092,-9956,-9428,3910,3910,1978,3137
22,2.2403703492039293,-8284,-8312,-7935,-8443,-10512,-8674,-8566,-8317,4578,4578,5052,7606
23,2.517781519116782,-3625,-3725,-3901,-3779,-5976,-3359,-3335,-3640,7298,7298,5906,11543
24,2.818942121624993,-2130,-2302,-2500,-2200,-3487,-2281,-2250,-2139,3983,3983,3645,8297
25,3.145885368112149,-578,-541,-733,-655,-1306,-254,-266,-581,2866,2866,2223,5910
